"","names","observationUnitName","seedInv.g","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Lodging.incidence...0.9.percentage.scale.","Plant.height...cm.","Scb","SBMV","balancedIX"
"402","19-21559","Aug_Urb_20-plot4514",1984.51894766835,1.04056913100818,14.0655257558637,2.17063955025802,-0.0365823136989629,2.89991861795482,-1.07275952488682,0.641510127156805,10.4276341462526
"629","19-3462","Aug_Urb_20-plot219",1556.70039,-1.36567793013523,0.197579708167467,-1.64619618276052,-0.902875486174259,-8.65324359559597,-0.52395440548877,-0.014390912819951,10.3417326551501
"323","19-18972","Aug_Urb_20-plot3915",1716.2598537373,-0.369864466701728,6.22046617890992,0.204452000791264,-0.605080009339068,-3.94246953898309,-0.52395440548877,0.229665288101632,10.2400895672142
"491","19-23833","Aug_Urb_20-plot5219",2104.18843194985,0.961179967135941,10.9589698882029,1.16069691523259,0.194891904751062,1.94574038987712,-1.62156464428487,-0.594024390008712,10.1031933084482
"671","19-5637","Aug_Urb_20-plot702",1567.67024408776,-0.821325385148761,2.55144444519067,-1.15443497792305,-0.619418426095691,-6.59566287846749,0.0248507139092811,0.229665288101632,9.80861257307214
"627","19-3427","Aug_Urb_20-plot218",1625.510565,-1.28210926988823,3.66496557097611,0.198645298741326,-0.824228086158291,-4.87341121248886,-1.62156464428487,-0.014390912819951,9.32383922226939
"653","19-4236","Aug_Urb_20-plot419",1860.86061,-0.382106316267034,9.99406803263426,-0.71042729512746,0.31232132869284,2.54114847096997,-0.52395440548877,-0.014390912819951,8.49984583235199
"690","19-7252","Aug_Urb_20-plot1002",2110.17190616393,-1.20119199705741,12.5755511458269,2.15386483026037,-0.270771367471247,3.1981745253258,-1.62156464428487,-1.00586922906388,8.49594774326291
"421","19-21724","Aug_Urb_20-plot4617",1881.80264032672,-0.0433995750503655,4.5891333860735,0.185040930870002,-0.302972697767014,-2.28610023604827,-1.62156464428487,-0.594024390008712,8.43856364551363
"326","19-19160","Aug_Urb_20-plot3919",1891.77509735018,0.57738325097047,7.48445592626574,0.916664453997669,-0.242809936987269,-0.491059823781839,-1.07275952488682,0.641510127156805,8.25992491463276
"646","19-3948","Aug_Urb_20-plot401",1742.18814,-0.891741714962201,8.15577703965215,0.165259562998585,-0.355092113207831,-1.27824989516084,0.573655833307332,-0.014390912819951,8.25283840923096
